Step 0| Cost: 1.9817116569725235 | Validation accuracy: 23.59%
Step 1| Cost: 2.066850163289344 | Validation accuracy: 24.25%
Step 2| Cost: 1.8721894041059965 | Validation accuracy: 26.25%
Step 3| Cost: 1.8982398945740915 | Validation accuracy: 27.57%
Step 4| Cost: 1.9770940655316336 | Validation accuracy: 28.90%
Step 5| Cost: 1.9029139313741337 | Validation accuracy: 28.90%
Step 6| Cost: 1.830262357280526 | Validation accuracy: 26.58%
Step 7| Cost: 1.9051505538975955 | Validation accuracy: 26.91%
Step 8| Cost: 1.8594311920805322 | Validation accuracy: 26.25%
Step 9| Cost: 1.7673210908058163 | Validation accuracy: 26.91%
Step 10| Cost: 1.9165255974934954 | Validation accuracy: 29.57%
Step 11| Cost: 1.83100295622376 | Validation accuracy: 30.23%
Step 12| Cost: 1.8737865435971204 | Validation accuracy: 29.90%
Step 13| Cost: 1.8323742760122776 | Validation accuracy: 29.90%
Step 14| Cost: 1.7755601355749278 | Validation accuracy: 31.23%
Step 15| Cost: 1.7751784443400391 | Validation accuracy: 33.22%
Step 16| Cost: 1.8133636052411815 | Validation accuracy: 33.89%
Step 17| Cost: 1.7391953993299463 | Validation accuracy: 35.22%
Step 18| Cost: 1.7827686855516582 | Validation accuracy: 36.54%
Step 19| Cost: 1.7785174290643246 | Validation accuracy: 37.21%
Step 20| Cost: 1.8372944171872676 | Validation accuracy: 37.87%
Step 21| Cost: 1.6908511177760532 | Validation accuracy: 37.21%
Step 22| Cost: 1.6670059584569357 | Validation accuracy: 38.21%
Step 23| Cost: 1.7294368614833404 | Validation accuracy: 38.54%
Step 24| Cost: 1.7807737955421687 | Validation accuracy: 38.87%
Step 25| Cost: 1.744328892593184 | Validation accuracy: 40.20%
Step 26| Cost: 1.756163100490608 | Validation accuracy: 40.86%
Step 27| Cost: 1.770200322310724 | Validation accuracy: 40.86%
Step 28| Cost: 1.7027340776464677 | Validation accuracy: 40.53%
Step 29| Cost: 1.6958787095048784 | Validation accuracy: 39.20%
Step 30| Cost: 1.826265789571885 | Validation accuracy: 39.87%
Step 31| Cost: 1.589600013182555 | Validation accuracy: 39.53%
Step 32| Cost: 1.6395542894786488 | Validation accuracy: 39.87%
Step 33| Cost: 1.724486275798686 | Validation accuracy: 38.54%
Step 34| Cost: 1.7416551188953227 | Validation accuracy: 38.21%
Step 35| Cost: 1.7800099762792714 | Validation accuracy: 39.53%
Step 36| Cost: 1.6742948747276316 | Validation accuracy: 38.54%
Step 37| Cost: 1.686337279527571 | Validation accuracy: 38.54%
Step 38| Cost: 1.7020395061191058 | Validation accuracy: 38.21%
Step 39| Cost: 1.666721391829187 | Validation accuracy: 38.87%
Step 40| Cost: 1.6550455955938688 | Validation accuracy: 37.54%
Step 41| Cost: 1.7350613170848834 | Validation accuracy: 36.88%
Step 42| Cost: 1.6714269963355852 | Validation accuracy: 36.21%
Step 43| Cost: 1.6516013871083757 | Validation accuracy: 36.54%
Step 44| Cost: 1.8018320479978 | Validation accuracy: 36.21%
Step 45| Cost: 1.6278198516350189 | Validation accuracy: 35.55%
Step 46| Cost: 1.658236302384498 | Validation accuracy: 37.54%
Step 47| Cost: 1.5929014975044906 | Validation accuracy: 37.54%
Step 48| Cost: 1.7221066002505774 | Validation accuracy: 39.20%
Step 49| Cost: 1.6576269755983226 | Validation accuracy: 39.20%
Step 50| Cost: 1.5754956260004371 | Validation accuracy: 40.20%
Step 51| Cost: 1.590248899759975 | Validation accuracy: 42.19%
Step 52| Cost: 1.6115384511473811 | Validation accuracy: 42.52%
Step 53| Cost: 1.6817142792424113 | Validation accuracy: 43.52%
Step 54| Cost: 1.5217715547869213 | Validation accuracy: 43.85%
Step 55| Cost: 1.6988943994986145 | Validation accuracy: 43.85%
